properties{
  x = 0,
  y = 0,
  width = 432,
  height = 840,
  world = "dungeon_2",
  floor = 0,
  tileset = "goron_sanctuary",
}

tile{
  layer = 0,
  x = 56,
  y = 56,
  width = 320,
  height = 736,
  pattern = "lava",
}

tile{
  layer = 0,
  x = 312,
  y = 368,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 88,
  y = 368,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 88,
  y = 168,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 312,
  y = 576,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 88,
  y = 576,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 96,
  y = 256,
  width = 48,
  height = 8,
  pattern = "hole.2",
}

tile{
  layer = 0,
  x = 288,
  y = 256,
  width = 48,
  height = 8,
  pattern = "hole.2",
}

tile{
  layer = 0,
  x = 288,
  y = 464,
  width = 48,
  height = 8,
  pattern = "hole.2",
}

tile{
  layer = 0,
  x = 96,
  y = 464,
  width = 48,
  height = 8,
  pattern = "hole.2",
}

tile{
  layer = 0,
  x = 288,
  y = 472,
  width = 48,
  height = 48,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 312,
  y = 368,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 88,
  y = 368,
  width = 32,
  height = 32,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 96,
  y = 264,
  width = 48,
  height = 48,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 288,
  y = 264,
  width = 48,
  height = 48,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 96,
  y = 472,
  width = 48,
  height = 48,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 56,
  y = 32,
  width = 320,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 56,
  y = 48,
  width = 320,
  height = 8,
  pattern = "3",
}

tile{
  layer = 0,
  x = 176,
  y = 56,
  width = 80,
  height = 736,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 152,
  y = 696,
  width = 128,
  height = 64,
  pattern = "floor_low.cracked.3",
}

tile{
  layer = 0,
  x = 32,
  y = 56,
  width = 24,
  height = 736,
  pattern = "wall.3",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 0,
  x = 376,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.2",
}

tile{
  layer = 0,
  x = 376,
  y = 48,
  width = 24,
  height = 736,
  pattern = "wall.4",
}

tile{
  layer = 0,
  x = 376,
  y = 784,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 0,
  x = 32,
  y = 784,
  width = 24,
  height = 24,
  pattern = "wall.corner.3",
}

tile{
  layer = 0,
  x = 56,
  y = 784,
  width = 320,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 0,
  x = 88,
  y = 192,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 88,
  y = 176,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 104,
  y = 296,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 104,
  y = 280,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 296,
  y = 296,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 296,
  y = 280,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 312,
  y = 392,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 312,
  y = 376,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 88,
  y = 392,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 88,
  y = 376,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 296,
  y = 504,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 296,
  y = 488,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 104,
  y = 504,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 104,
  y = 488,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 312,
  y = 600,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 312,
  y = 584,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 88,
  y = 600,
  width = 32,
  height = 8,
  pattern = "6",
}

tile{
  layer = 0,
  x = 88,
  y = 584,
  width = 32,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 56,
  y = 64,
  width = 8,
  height = 712,
  pattern = "hole.3",
}

tile{
  layer = 0,
  x = 168,
  y = 64,
  width = 8,
  height = 624,
  pattern = "hole.4",
}

tile{
  layer = 0,
  x = 256,
  y = 64,
  width = 8,
  height = 624,
  pattern = "hole.3",
}

tile{
  layer = 0,
  x = 368,
  y = 64,
  width = 8,
  height = 712,
  pattern = "hole.4",
}

tile{
  layer = 0,
  x = 144,
  y = 696,
  width = 8,
  height = 64,
  pattern = "hole.4",
}

tile{
  layer = 0,
  x = 280,
  y = 696,
  width = 8,
  height = 64,
  pattern = "hole.3",
}

tile{
  layer = 0,
  x = 256,
  y = 768,
  width = 8,
  height = 8,
  pattern = "hole.3",
}

tile{
  layer = 0,
  x = 168,
  y = 768,
  width = 8,
  height = 8,
  pattern = "hole.4",
}

tile{
  layer = 0,
  x = 368,
  y = 776,
  width = 8,
  height = 8,
  pattern = "hole.corner.4",
}

tile{
  layer = 0,
  x = 56,
  y = 776,
  width = 8,
  height = 8,
  pattern = "hole.corner.3",
}

tile{
  layer = 0,
  x = 168,
